Lon,Lat,HF,IsoCorrAnomaly,MeanCurv,MeanCurvGrad,SI_TopoIso,LAB,LAB_LitMod,LAB_LitMod_Aus17,LAB_AN1,LABGrad,Moho,Moho_AN1,Moho_AN1_Aus17_Afr,Moho_LitMod_Aus17_Afr,MohoGrad,Topo,TopoGrad,Tectonics,TectonicsGrad,Ridge,Transform,Trench,YoungRift,Volcanos,MagAnomaly,Sus,Sus_AN1,Sus_AN1_Aus17_Afr,Sus_LitMod_Aus17_Afr,SusGrad,Bz5,Bz5Grad,Bz400,Curie,Methane,IceTopography
124,-17.5,61.973,21.19929361,0.011477922,4.38148E-08,0.800729569,155.0050812,155.0050812,207.826416,155.0050812,5.59411E-05,33.87999916,33.87999916,32.35999966,32.35999966,9.67038E-06,74.24999991,0.003991691,2,1.68623E-06,2217.5,1623.5,716.7999878,1422.5,989.4130249,-7.560835401,0.013079186,0.013098057,0.01387406,0.01387406,1.22277E-08,-37.93025208,0.00038504,-8.613200188,61.44935036,1791.547485,0
124.5,-17.5,54.424,16.05202293,0.011314867,3.81018E-08,0.746215279,157.2929077,157.2929077,213.6618652,157.2929077,5.04387E-05,34.38999939,34.38999939,34.86999893,34.86999893,1.03197E-05,47.49999996,0.002307649,2,1.8541E-06,2194,1626,731.0999756,1448,996.5420227,0.021253508,0.012319146,0.012327828,0.01214797,0.01214797,7.23961E-08,-34.66550064,0.000420739,-8.781399727,69.44408894,1791.385986,0
124.5,-17,59.404,20.3255043,0.012822012,1.83195E-08,0.72306097,156.8574371,156.8574371,215.8563538,156.8574371,4.39782E-05,34.55500031,34.55500031,35.68499947,35.68499947,8.64406E-06,109.4999999,0.007517064,2,1.43098E-06,2144,1571,678.0499878,1400.5,942.0830078,-13.26318935,0.017517575,0.017529109,0.016984662,0.016984662,1.55076E-07,-46.19775009,0.000153137,-8.564200401,74.48547745,1792.963989,0
125,-18.5,52.951,10.60371208,0.006153018,4.78841E-08,0.687805897,163.0832825,163.0832825,190.8564148,163.0832825,0.000101505,35.00499916,35.00499916,38.23000145,38.23000145,1.09354E-05,77.99999999,0.000642801,2,2.42105E-06,2274,1743,854.5,1571.5,1114.333008,-12.40549231,0.011024332,0.011022673,0.010109261,0.010109261,3.46739E-09,10.99272537,0.000431244,-9.189299583,67.41289711,1787.997009,0
125,-18,67.738,10.98682308,0.008765749,4.4809E-08,0.716764522,161.6430626,161.6430626,204.1547241,161.6430626,8.27085E-05,34.98499966,34.98499966,37.77750015,37.77750015,1.06926E-05,131.75,0.002427816,2,2.30615E-06,2223,1687.75,801.1499939,1523.75,1058.978027,-20.78659656,0.01120502,0.01120911,0.010329134,0.010329134,4.24512E-08,-17.52281952,0.000701252,-8.888500214,73.51425171,1790.226746,0
125.5,-20,79.663,5.681130409,-0.001171199,4.58009E-08,-0.232638401,185.6165695,185.6165695,170.9438477,185.6165695,0.000134513,35.76499939,35.76499939,36.19999886,36.19999886,7.40156E-06,226.9999999,0.003190164,2,2.50702E-06,2409.5,1915,1028.100006,1734,1286.619995,-69.71504021,0.011270819,0.011275166,0.01123863,0.01123863,1.67165E-08,-108.6669998,0.000328659,-10.15100002,54.38619614,1781.985474,0
126,-26,47.42,-30.1685257,-0.007969467,5.19861E-08,-0.513590357,187.6357269,187.6357269,228.3566895,187.6357269,1.28351E-05,39.04500008,39.04500008,47.02750015,47.02750015,8.0294E-06,468.5,0.004229031,1,0,2521.25,2584.25,1684,1930.25,1953.802979,151.8541355,0.02190845,0.021860464,0.018078297,0.018078297,4.20484E-07,157.9774933,0.000974834,3.336600065,76.09123993,1796.096008,0
127,-19.5,62.903,7.982851505,0.003190669,3.94455E-08,0.43956847,197.4373016,197.4373016,185.4241028,197.4373016,7.08941E-05,36.95499992,36.95499992,37.70499992,37.70499992,9.07098E-06,356.75,0.00111184,2,2.33134E-06,2307,1889,1030,1600.5,1260.013489,-69.61836624,0.017149267,0.017151214,0.016667539,0.016667539,4.39059E-07,-6.62452507,0.000890146,-7.456799984,67.86023903,1786.085999,0
127.5,-20.5,76.202,3.75638485,0.002175317,4.34349E-08,0.698400588,197.166626,197.166626,186.8739624,197.166626,7.71229E-05,36.99000168,36.99000168,35.97999954,35.97999954,8.10624E-06,330.7500001,0.004328056,1,1.90791E-06,2400,2009,1153,1670,1381.894257,-71.3431015,0.012156421,0.012163644,0.012498248,0.012498248,1.84071E-08,-80.83574677,0.001164141,-8.361100197,63.87520409,1784.620972,0
127.5,-20,58.659,11.24416304,0.003396167,4.15941E-08,0.536057071,198.784729,198.784729,187.928833,198.784729,4.49393E-05,37.20499992,37.20499992,37.22999954,37.22999954,8.91248E-06,285,0.000477359,1,2.35652E-06,2346,1955,1101.5,1621.5,1328.435486,-74.92931366,0.011394868,0.011395986,0.01153935,0.01153935,3.43508E-08,0.444750309,0.001055908,-7.416200161,65.90078545,1785.568481,0
128,-21,62.15,-5.715246201,0.002844652,3.50812E-08,0.640934031,188.1557045,188.1557045,191.0737305,188.1557045,9.65498E-05,37.25500011,37.25500011,37.83250046,37.83250046,8.27198E-06,394.25,0.002650159,1,1.1963E-06,2442.25,2076.5,1224,1697.25,1448.843994,-59.8424387,0.010683223,0.010697346,0.010609777,0.010609777,2.01801E-08,-160.8925018,0.000312011,-8.014300346,63.78651428,1785.82724,0
