Lon,Lat,HF,IsoCorrAnomaly,MeanCurv,SI_TopoIso,LAB,LAB_LitMod,LAB_LitMod_Aus17,LAB_AN1,Moho,Moho_AN1,Moho_AN1_Aus17_Afr,Moho_LitMod_Aus17_Afr,Moho_Lloyd_Aus17_Afr,Moho_AN1_Shen_Aus17_Afr,Topo,Tectonics,Ridge,Transform,Trench,YoungRift,Volcanos,MagAnomaly,Sus,Sus_AN1,Sus_AN1_Aus17_Afr,Sus_LitMod_Aus17_Afr,Sus_Lloyd_Aus17_Afr,Sus_AN1_Shen_Aus17_Afr,Bz5,Bz400,Curie,Methane,IceTopography
95,38.5,35.9,-42.00613594,-0.031809556,-0.963112245,118.2150345,118.2150345,118.2150345,118.2150345,63.43000031,63.43000031,63.43000031,63.43000031,63.43000031,63.43000031,4230.75,2.875,1968,1344.5,1120,363.8500061,1142.348999,-44.38245296,0.006763619,0.006641924,0.006641924,0.006641924,0.006641924,0.006641924,-59.79475021,-3.975399971,32.96977234,1861.917541,0
95.5,37.5,51.5,-75.91967106,-0.03787333,-0.874179116,89.68390656,89.68390656,89.68390656,89.68390656,53.40999985,53.40999985,53.40999985,53.40999985,53.40999985,53.40999985,3173,3,2047,1224,1006,479.6000061,1236.155762,-62.57659912,0.004666157,0.004702963,0.004702963,0.004702963,0.004702963,0.004702963,7.505924702,-3.721100092,30.24837637,1860.239014,0
95.5,38.5,52.1,-46.49587536,-0.030777017,-0.948509595,121.1455231,121.1455231,121.1455231,121.1455231,63.06999969,63.06999969,63.06999969,63.06999969,63.06999969,63.06999969,4025.75,2.9375,1948,1331,1117,369.1000061,1129.566742,-10.20085716,0.006790405,0.006710954,0.006710954,0.006710954,0.006710954,0.006710954,-48.73249817,-4.056499958,31.64288807,1862.238037,0
96,37.5,49.7,-71.64790726,-0.036309302,-0.887256491,87.11951065,87.11951065,87.11951065,87.11951065,55.21500015,55.21500015,55.21500015,55.21500015,55.21500015,55.21500015,3425.5,3,2029,1212.5,1007,484.25,1224.306519,-56.48636818,0.004601741,0.004626464,0.004626464,0.004626464,0.004626464,0.004626464,3.526074886,-3.753999949,28.84644508,1858.531494,0
98,39,69,-27.69265747,-0.026942856,-0.843125639,88.19449806,88.19449806,88.19449806,88.19449806,59.41499996,59.41499996,59.41499996,59.41499996,59.41499996,59.41499996,3504.749999,3,1805.5,1345.5,1191.5,359.0500031,1026.884033,-18.84815788,0.011161137,0.010957804,0.010957804,0.010957804,0.010957804,0.010957804,-41.77899933,-4.595200062,27.41522789,1852.948761,0
98,39.5,70,-49.27396774,-0.025418296,-0.834298468,89.05626297,89.05626297,89.05626297,89.05626297,56.90999985,56.90999985,56.90999985,56.90999985,56.90999985,56.90999985,3083.749999,3,1754.5,1401,1246,308.6500092,971.9465027,-30.42097569,0.010413919,0.010320555,0.010320555,0.010320555,0.010320555,0.010320555,-25.90175056,-4.605700016,27.92949772,1851.741028,0
101,36.5,123.3,-56.75998497,-0.02512306,-0.967551349,86.96292877,86.96292877,86.96292877,86.96292877,55.93999863,55.93999863,55.93999863,55.93999863,55.93999863,55.93999863,3790.999998,2.875,1982.5,1076,1014.600006,653.7000122,1187.815491,-41.832798,0.017605109,0.017576362,0.017576362,0.017576362,0.017576362,0.017576362,-31.23349953,-4.303899765,29.51119804,1851.453003,0
101.5,36,91.033,-58.51902199,-0.023942256,-0.962471733,80.12734222,80.12734222,80.12734222,80.12734222,55.95499992,55.95499992,55.95499992,55.95499992,55.95499992,55.95499992,2573.749999,3,2025,1028.850006,989.1000061,597.1000061,1180.659485,-37.71146463,0.010531507,0.010508182,0.010508182,0.010508182,0.010508182,0.010508182,-21.20224953,-4.149000168,29.97310543,1852.423462,0
101.5,37.5,87.1,-42.4112978,-0.021963617,-0.841923921,83.15840149,83.15840149,83.15840149,83.15840149,52.79000092,52.79000092,52.79000092,52.79000092,52.79000092,52.79000092,3092.999999,2.4375,1863,1192,1133,657.2000122,1093.869232,-25.18414688,0.011188052,0.011179582,0.011179582,0.011179582,0.011179582,0.011179582,-22.20999908,-4.291699886,30.95912123,1855.588989,0
102,33,36,-28.78663254,-0.014634156,-0.812300519,88.94291496,88.94291496,88.94291496,88.94291496,55.21749878,55.21749878,55.21749878,55.21749878,55.21749878,55.21749878,3767.000002,3,2051.25,725.0250244,761.625,561.5500031,927.7080078,-18.74738932,0.005119388,0.005112461,0.005112461,0.005112461,0.005112461,0.005112461,0.841987491,-1.53550005,33.00681686,1862.895752,0
102,36.5,48,-37.53999138,-0.020772185,-0.924202342,76.23290253,76.23290253,76.23290253,76.23290253,54.45999908,54.45999908,54.45999908,54.45999908,54.45999908,54.45999908,2328.750001,2.75,1960.5,1094.5,1060.5,569.6000061,1112.950989,-61.85104179,0.013261175,0.013226696,0.013226696,0.013226696,0.013226696,0.013226696,-6.845924854,-4.195499897,31.22773743,1855.82196,0
102,37.5,77.25,-39.92716217,-0.021801636,-0.853565776,75.46830368,75.46830368,75.46830368,75.46830368,52.46500015,52.46500015,52.46500015,52.46500015,52.46500015,52.46500015,4040.999999,2.25,1852.5,1202.5,1155,619.4500122,1055.041992,-7.985046387,0.010994947,0.0109676,0.0109676,0.0109676,0.0109676,0.0109676,-14.88449955,-4.195199966,32.52376366,1855.450012,0
103,33.5,94.7,-31.8822403,-0.0148417,-0.753712897,84.31225204,84.31225204,84.31225204,84.31225204,51.56499863,51.56499863,51.56499863,51.56499863,51.56499863,51.56499863,3484.749999,2.875,2045,814.25,867.1000061,453.75,1017.076965,-20.12106276,0.00457737,0.004574629,0.004574629,0.004574629,0.004574629,0.004574629,-21.29725075,-1.599699974,33.55377197,1861.409973,0
