Lon,Lat,HF,IsoCorrAnomaly,MeanCurv,MeanCurvGrad,SI_TopoIso,LAB,LAB_LitMod,LAB_LitMod_Aus17,LAB_AN1,LABGrad,Moho,Moho_AN1,Moho_AN1_Aus17_Afr,Moho_LitMod_Aus17_Afr,MohoGrad,Topo,TopoGrad,Tectonics,TectonicsGrad,Ridge,Transform,Trench,YoungRift,Volcanos,MagAnomaly,Sus,Sus_AN1,Sus_AN1_Aus17_Afr,Sus_LitMod_Aus17_Afr,SusGrad,Bz5,Bz5Grad,Bz400,Curie,Methane,IceTopography
88,40.5,36.001,-48.63092422,-0.029614654,1.18E-07,-0.793989684,139.0160675,139.0160675,139.0160675,139.0160675,0.000227301,47.86499977,47.86499977,47.86499977,47.86499977,1.02E-05,842.25,0.000586672,2,3.72E-06,2119.5,1827,1369,289.8499908,879.5065002,52.60070992,0.019199181,0.019195627,0.019195627,0.019195627,3.86E-07,171.2750092,0.001056476,1.553599954,40.14001656,1843.552979,0
88.5,34,66.68,-50.26630783,-0.021503495,5.37E-08,-0.861967038,115.6254082,115.6254082,115.6254082,115.6254082,7.51E-05,61.84000015,61.84000015,61.84000015,61.84000015,2.72E-05,5260.999999,0.066009231,3,0,2228,1251.5,766.6500244,138.4500046,776.1400146,99999,0.005614991,0.005593207,0.005593207,0.005593207,2.55E-09,12.46102524,0.000185243,-6.302000046,23.68121147,1856.054504,0
90,32,140,-18.09791946,-0.010125496,4.97E-08,-0.475229901,120.7602634,120.7602634,120.7602634,120.7602634,2.89E-05,64.0474987,64.0474987,64.0474987,64.0474987,1.45E-05,4669.75,0.017155764,3,0,1970.75,997.6750031,558.5250015,186.4750004,985.6519775,-15.39158487,0.005347662,0.005363271,0.005363271,0.005363271,2.14E-09,21.56800079,0.000112263,-3.358500004,26.99694633,1848.14801,0
90.5,28.5,112.377,-4.390347004,0.012487833,1.72E-07,0.373271759,97.8446579,97.8446579,97.8446579,97.8446579,0.000150045,70.44999695,70.44999695,70.44999695,70.44999695,2.21E-05,5087.75,0.058784176,3,4.46E-06,1589,709.9000244,172.6000061,50.22000122,846.3317413,51.65664673,0.004159109,0.004136163,0.004136163,0.004136163,1.39E-09,14.36004925,0.001003966,5.042300224,37.47785282,1845.473999,0
90.5,29,128.903,-21.35575962,0.002678789,1.79E-07,0.102879724,104.4641533,104.4641533,104.4641533,104.4641533,0.000121248,69.9849968,69.9849968,69.9849968,69.9849968,2.24E-05,4485.75,0.014637066,3,3.35E-06,1640.5,742.8500061,228.25,38.28000069,886.0159912,-13.23197937,0.004160577,0.004126008,0.004126008,0.004126008,6.30E-10,2.198075056,0.000539563,3.648000002,35.30156517,1840.047485,0
90.5,30,110.683,-50.74484921,-0.012560792,8.08E-08,-0.422876711,114.7146263,114.7146263,114.7146263,114.7146263,6.89E-05,67.69999695,67.69999695,67.69999695,67.69999695,2.28E-05,4683.749995,0.2534785,3,1.12E-06,1744.5,812.6499939,339.5,38.18499947,949.4049988,-49.75756836,0.00360343,0.003604974,0.003604974,0.003604974,5.34E-08,41.90049744,0.000383037,1.005100012,30.65239334,1834.937988,0
90.5,38.5,56.825,-40.1277895,-0.024852405,1.13E-07,-0.753176022,70.93391418,70.93391418,70.93391418,70.93391418,5.69E-05,47.43999863,47.43999863,47.43999863,47.43999863,6.74E-06,4157,0.08936746,3,2.25E-06,2168,1520,1214,393.2999878,973.0082703,41.82021332,0.018114021,0.018193207,0.018193207,0.018193207,2.03E-08,-42.20175171,0.000205992,-3.40809989,32.64416027,1855.750977,0
90.5,43,45.072,-92.91217041,-0.026255136,3.59E-08,-0.767236402,83.46421433,83.46421433,83.46421433,83.46421433,0.000146504,47.31500053,47.31500053,47.31500053,47.31500053,1.16E-05,516.25,0.007934081,2,1.93E-06,1774,1952,1684,1.86000061,929.6744995,36.36737061,0.012603095,0.012595168,0.012595168,0.012595168,1.27E-08,53.34174728,0.000523795,3.113800049,37.17271614,1856.620483,0
91,29,126.459,-5.319261551,0.00418741,1.72E-07,0.188600731,102.5550175,102.5550175,102.5550175,102.5550175,0.000137893,70.14999771,70.14999771,70.14999771,70.14999771,2.39E-05,4602.5,0.063328583,2,3.91E-06,1624.25,704.6499939,231.2500038,81.91499805,851.6560059,-21.14616442,0.004148258,0.004102255,0.004102255,0.004102255,3.28E-10,-49.03549957,0.001261816,4.355100155,36.37188339,1841.803497,0
91,30,85.763,-26.21775627,-0.011882069,1.02E-07,-0.450786379,113.3352013,113.3352013,113.3352013,113.3352013,8.09E-05,68.1024971,68.1024971,68.1024971,68.1024971,2.08E-05,4388.499997,0.170514372,3,2.25E-06,1729.25,777.1749878,342.375,74.94249821,908.6279907,-46.23498815,0.004642723,0.004637371,0.004637371,0.004637371,3.39E-08,42.10425186,0.000174819,1.56219995,32.23160934,1839.717743,0
91,30.5,146.778,-29.29879665,-0.015732347,4.03E-08,-0.550286484,116.92173,116.92173,116.92173,116.92173,5.59E-05,66.2899971,66.2899971,66.2899971,66.2899971,2.18E-05,4899.500004,0.231553912,3,1.69E-06,1782,815.0499878,397.9499969,80.36499786,941.7749939,-10.0803355,0.00513128,0.00514386,0.00514386,0.00514386,1.74E-09,-0.327749968,0.000755801,0.316909999,30.49171066,1841.150513,0
91,37.5,56.626,-60.32534981,-0.029898102,1.16E-07,-0.924214217,70.5622406,70.5622406,70.5622406,70.5622406,3.72E-05,48.94499969,48.94499969,48.94499969,48.94499969,1.95E-05,4320.25,0.038731573,3,1.69E-06,2238.5,1405,1094.5,492.4500122,990.2875061,50012.56733,0.006053489,0.006083311,0.006083311,0.006083311,2.27E-09,-16.08679962,0.000507195,-4.675000191,30.24217796,1858.502991,0
91,37.5,43.832,-60.32534981,-0.029898102,1.16E-07,-0.924214217,70.5622406,70.5622406,70.5622406,70.5622406,3.72E-05,48.94499969,48.94499969,48.94499969,48.94499969,1.95E-05,4320.25,0.038731573,3,1.69E-06,2238.5,1405,1094.5,492.4500122,990.2875061,50012.56733,0.006053489,0.006083311,0.006083311,0.006083311,2.27E-09,-16.08679962,0.000507195,-4.675000191,30.24217796,1858.502991,0
91,38,56.219,-79.81199646,-0.0309248,1.37E-07,-0.924137091,70.70822334,70.70822334,70.70822334,70.70822334,4.28E-05,48.59999943,48.59999943,48.59999943,48.59999943,1.89E-05,2866,0.003874798,3,2.25E-06,2191.5,1450.75,1146.25,437.875,999.5319824,25009.8818,0.008699394,0.008774561,0.008774561,0.008774561,2.44E-07,-45.54049683,0.000461257,-4.177599907,31.01788902,1857.561981,0
91.5,37.5,57.805,-65.82244301,-0.034810898,1.28E-07,-0.944647591,69.90036011,69.90036011,69.90036011,69.90036011,2.59E-05,49.41999817,49.41999817,49.41999817,49.41999817,2.03E-05,3677.500001,0.053756194,3,1.69E-06,2215,1379,1078,483.7000122,1033.780014,26.13465691,0.005988294,0.006006341,0.006006341,0.006006341,2.45E-09,-29.59549904,0.000572816,-4.57310009,30.99457455,1856.688965,0
91.5,37.5,51.097,-65.82244301,-0.034810898,1.28E-07,-0.944647591,69.90036011,69.90036011,69.90036011,69.90036011,2.59E-05,49.41999817,49.41999817,49.41999817,49.41999817,2.03E-05,3677.500001,0.053756194,3,1.69E-06,2215,1379,1078,483.7000122,1033.780014,26.13465691,0.005988294,0.006006341,0.006006341,0.006006341,2.45E-09,-29.59549904,0.000572816,-4.57310009,30.99457455,1856.688965,0
91.5,38,48.138,-93.52046204,-0.036794729,1.25E-07,-0.930079218,70.33742905,70.33742905,70.33742905,70.33742905,3.29E-05,49.24499893,49.24499893,49.24499893,49.24499893,2.51E-05,3309.25,0.012211704,3,2.25E-06,2168,1426,1130,428.5,1042.375,-0.646501541,0.005340161,0.005366476,0.005366476,0.005366476,1.16E-07,-58.52674866,0.000259958,-4.173999786,31.73346043,1857.089966,0
91.5,38.5,53.227,-63.33499336,-0.034991775,1.18E-07,-0.834328844,70.77449799,70.77449799,70.77449799,70.77449799,3.99E-05,49.06999969,49.06999969,49.06999969,49.06999969,2.98E-05,2715.5,0.003655953,3,2.25E-06,2121,1473,1182,373.2999878,1056.585022,-27.42765999,0.017545671,0.017597727,0.017597727,0.017597727,1.34E-07,-53.76499939,0.000419785,-3.664700031,33.79818296,1857.490967,0
92,29.5,77.172,-29.08899117,-0.004948308,1.75E-07,-0.259512655,103.7291527,103.7291527,103.7291527,103.7291527,0.000115484,69.43499756,69.43499756,69.43499756,69.43499756,1.74E-05,5142.000002,0.068278952,2,4.76E-06,1648,669.2999878,279.5500031,157.2999954,798.9274902,-89.97006607,0.003962436,0.003945879,0.003945879,0.003945879,8.90E-09,-3.631999493,0.001211916,4.224400043,39.58935165,1848.671997,0
92,34,53.772,-26.95859146,-0.0211703,2.94E-08,-0.808350011,102.8366127,102.8366127,102.8366127,102.8366127,8.02E-05,61.93250084,61.93250084,61.93250084,61.93250084,3.71E-05,4782.75,0.031544232,3,0,2134.5,1043.024994,702.7000122,429.25,1089.748047,-3.329732701,0.00548196,0.00544796,0.00544796,0.00544796,3.13E-09,15.45575047,8.92E-05,-3.933000088,33.58021545,1853.158966,0
92,36.5,49.385,-37.21181107,-0.027001056,9.44E-08,-0.776134882,76.90823746,76.90823746,76.90823746,76.90823746,8.28E-05,51.48999977,51.48999977,51.48999977,51.48999977,1.94E-05,4062.750001,0.045890396,3,5.62E-07,2289.5,1262.5,958.4500122,553.5,1067.038025,43.49635172,0.007931584,0.007942181,0.007942181,0.007942181,2.57E-07,2.049292564,0.000136671,-4.750899792,31.10977745,1852.394531,0
