dataset,id,Lon,Lat,HF,IsoCorrAnomaly,MeanCurv,SI_TopoIso,LAB,LAB_LitMod,LAB_LitMod_Aus17,LAB_AN1,Moho,Moho_AN1,Moho_AN1_Aus17_Afr,Moho_LitMod_Aus17_Afr,Topo,Tectonics,Ridge,Transform,Trench,YoungRift,Volcanos,MagAnomaly,Sus,Sus_AN1,Sus_AN1_Aus17_Afr,Sus_LitMod_Aus17_Afr,Bz5,Bz400,Curie,Methane,IceTopography,x,y
test,2274,141.3913,-17,68,21.60688281,0.003991239,0.344979846,146.4451201,146.4451201,175.7924099,146.4451201,36.4187008,36.4187008,36.1120668,36.1120668,16.98899999,1.69565,1374.22865,1531.94575,1284.75025,544.380862,1095.198414,-24.62421893,0.054301102,0.054382865,0.054969837,0.054969837,19.45667493,1.279317311,51.41948753,1796.388496,0,1181491,8109299
test,2275,141.91304,-17,68,17.58077793,0.004276202,0.38693358,131.0290942,131.0290942,152.9939113,131.0290942,35.78935232,35.78935232,35.98934997,35.98934997,41.78239998,1.95652,1328.56552,1523.3044,1257.22844,492.0536133,1061.167936,-15.92126454,0.012182514,0.012211094,0.012129644,0.012129644,-17.39813606,0.720608133,45.64398312,1796.430092,0,1237340,8107394
test,2276,142.43478,-17,68,26.95957315,0.005940941,0.617391062,114.1116015,114.1116015,127.6859547,114.1116015,35.16326492,35.16326492,35.84326241,35.84326241,73.58679998,2.21739,1283.17414,1515.4783,1230.35883,439.3839619,1030.390054,5.494104737,0.012397121,0.012431431,0.012190324,0.012190324,-27.53031091,0.193928679,40.43425795,1796.221129,0,1293241,8105337
test,2277,142.95652,-17,68,39.01947173,0.008103102,0.8900553,100.2701313,100.2701313,112.0809707,100.2701313,34.6376116,34.6376116,35.44152302,35.44152302,121.9559999,2.47826,1239.8371,1511.30436,1206.91312,386.7827857,1000.262721,-1.536461855,0.012587625,0.012631082,0.012320951,0.012320951,-19.35898958,-0.207989147,35.33769382,1795.71497,0,1349197,8103126
test,2278,143.47826,-17,68,33.03281272,0.010248164,0.886259728,86.86811218,86.86811218,97.86218641,86.86811218,34.12630664,34.12630664,35.00326035,35.00326035,163.9242001,2.73913,1196.79355,1507.65218,1183.95656,334.1913921,974.3674821,-12.6309116,0.012770338,0.012809746,0.012544234,0.012544234,-14.35142122,-0.430906603,32.42180987,1795.166354,0,1405213,8100761
test,2279,144,-17,68,25.40548897,0.012659873,0.776435966,76.8350811,76.8350811,94.27050781,76.8350811,33.76750088,33.76750088,33.94999886,33.94999886,224.7499999,3,1155.5,1507.5,1163.25,282.25,948.8569946,-8.251663566,0.018135488,0.018213982,0.01827813,0.01827813,-11.98224926,-0.463019997,29.70417786,1794.894501,0,1461291,8098240
test,2280,144.52174,-17,68,29.61407268,0.015861779,0.718498691,67.09787749,67.09787749,91.15883021,67.09787749,33.43000031,33.43000031,32.91184674,32.91184674,321.5,3.130435,1114.40211,1507.47826,1142.81519,230.3694799,928.7079079,-3.522958485,0.020750922,0.020830655,0.021235359,0.021235359,-0.538745153,-0.318044732,28.49491648,1794.588495,0,1517437,8095563
test,2281,145.04348,-17,68,34.03923546,0.02027842,0.690750332,60.79544542,60.79544542,88.45962819,60.79544542,33.43000031,33.43000031,32.8361952,32.8361952,466.3727995,3.26087,1076.05422,1506.95652,1126.38038,179.2389579,909.0643637,-6.230760637,0.010828678,0.010861952,0.01109446,0.01109446,5.858589996,-0.035986519,27.42897337,1793.220233,0,1573654,8092728
test,2282,145.56522,-17,68,40.84666828,0.02585674,0.673167139,54.94104506,54.94104506,85.81422948,54.94104506,33.42576097,33.42576097,32.69467138,32.69467138,496.2675993,3.391305,1038.107433,1502.9129,1110.46733,128.3934478,894.9815554,-7.707082982,0.010830646,0.010845582,0.011087438,0.011087438,-13.425836,0.353240134,27.9394653,1791.927919,0,1629946,8089735
test,2283,123.81503,-16.5,68,23.27385278,0.013972796,0.76118565,150.9785371,150.9785371,209.2978254,150.9785371,34.28162084,34.28162084,34.45193855,34.45193855,181.9647995,2,2128.2485,1511.20521,605.13587,1315.32665,878.0564851,-30.41554109,0.028584751,0.028593837,0.028611671,0.028611671,-56.67106878,-8.066939783,64.16143137,1794.848188,0,-700121,8142179
test,2284,124.33526,-16.5,68,21.85330396,0.013439492,0.719993477,155.1127843,155.1127843,215.9456815,155.1127843,34.61456772,34.61456772,36.00742712,36.00742712,158.0835996,2,2102.237,1514.84682,620.22254,1343.9393,886.1954051,-27.47789093,0.025417469,0.025420313,0.024462324,0.024462324,-49.42373931,-8.266480877,72.09585612,1794.615635,0,-643739,8145270
test,2285,124.85549,-16.5,68,17.20497328,0.01344048,0.702190219,156.4265122,156.4265122,220.959529,156.4265122,34.97950876,34.97950876,37.64467823,37.64467823,222.4517987,2,2077.64746,1520.97686,637.5487927,1369.35254,891.6177646,-30.24039674,0.030561136,0.030573623,0.028392482,0.028392482,-27.2622674,-8.14070886,80.88690843,1794.229506,0,-587439,8148207
test,2286,125.37572,-16.5,68,19.50678144,0.014517706,0.739495793,156.4331643,156.4331643,225.2161497,156.4331643,35.35927642,35.35927642,39.31981947,39.31981947,458.7095996,2,2053.71688,1528.26008,655.9129053,1393.28312,899.852956,-35.64444999,0.030687255,0.030695588,0.02757908,0.02757908,-7.475363796,-7.660375668,88.14253718,1793.77221,0,-531216,8150990
test,2287,125.89595,-16.5,68,24.48176262,0.016088408,0.80645036,153.2982864,153.2982864,227.6527875,153.2982864,35.83803158,35.83803158,40.66236113,40.66236113,524.7404998,2,2031.76605,1538.31495,676.2171826,1384.34985,909.1700232,-31.46583475,0.030283608,0.030297492,0.026508704,0.026508704,-8.398097917,-6.806997486,94.80760898,1793.537441,0,-475065,8153620
test,2288,126.41618,-16.5,68,25.80435326,0.017281374,0.858053382,149.1773513,149.1773513,229.5181728,149.1773513,36.34785674,36.34785674,41.9005071,41.9005071,482.1185999,1.79191,2010.43662,1549.23978,697.130435,1365.10134,923.587988,-24.27943054,0.029863958,0.02985808,0.025834626,0.025834626,-32.94279848,-5.596861742,96.37883375,1793.37252,0,-418983,8156099
test,2289,126.93642,-16.5,68,26.21381027,0.017228583,0.882096199,151.4389396,151.4389396,228.755378,151.4389396,36.93188397,36.93188397,40.89548001,40.89548001,399.0736005,1.53179,1991.7253,1563.65618,719.1351393,1332.32344,939.2815401,13.86456676,0.029401346,0.029389549,0.026435231,0.026435231,-57.43388255,-4.09928398,96.67654128,1793.08629,0,-362964,8158427
test,2290,127.45665,-16.5,68,30.6553173,0.015100408,0.873319484,154.9263206,154.9263206,227.4878254,154.9263206,37.53014926,37.53014926,39.45964608,39.45964608,429.3334998,1.271675,1973.51725,1578.74285,741.3489667,1296.9478,960.0504647,57.95348871,0.028940049,0.028916558,0.027490871,0.027490871,-52.81551946,-2.441052387,92.79853573,1792.776769,0,-307007,8160605
test,2291,127.97688,-16.5,68,35.65821323,0.010578174,0.781671492,165.388028,165.388028,223.3483981,165.388028,38.1045691,38.1045691,39.63089724,39.63089724,276.7007988,1.01156,1957.6936,1597.16768,766.9486304,1264.91032,981.5260824,92.32208858,0.029089852,0.029083262,0.028157226,0.028157226,-20.3525675,-0.789914375,88.33914078,1792.31892,0,-251107,8162634
